adc r0, 0, 1     04 00 00 50      0000 0100    0000 0000    0000 0000    0101 0000
adc r0, 1, 1     44 00 00 50      0100 0100    0000 0000    0000 0000    0101 0000
adc r0, 0, 2     08 00 00 50      0000 1000    0000 0000    0000 0000    0101 0000
adc r0, 1, 2     48 00 00 50      0100 1000    0000 0000    0000 0000    0101 0000
adc r0, 0, 3     0c 00 00 50      0000 1100    0000 0000    0000 0000    0101 0000
adc r0, 1, 3     4c 00 00 50      0100 1100    0000 0000    0000 0000    0101 0000
adc r0, 0, 4     10 00 00 50      0001 0000    0000 0000    0000 0000    0101 0000
adc r0, 1, 4     50 00 00 50      0101 0000    0000 0000    0000 0000    0101 0000
adc r0, 0, 5     14 00 00 50      0001 0100    0000 0000    0000 0000    0101 0000
adc r0, 1, 5     54 00 00 50      0101 0100    0000 0000    0000 0000    0101 0000
adc r0, 0, 6     18 00 00 50      0001 1000    0000 0000    0000 0000    0101 0000
adc r0, 1, 6     58 00 00 50      0101 1000    0000 0000    0000 0000    0101 0000
adc r0, 0, 7     1c 00 00 50      0001 1100    0000 0000    0000 0000    0101 0000
adc r0, 1, 7     5c 00 00 50      0101 1100    0000 0000    0000 0000    0101 0000
adc r0, 0, 8     20 00 00 50      0010 0000    0000 0000    0000 0000    0101 0000
adc r0, 1, 8     60 00 00 50      0110 0000    0000 0000    0000 0000    0101 0000
adc r0, 0, 9     24 00 00 50      0010 0100    0000 0000    0000 0000    0101 0000
adc r0, 1, 9     64 00 00 50      0110 0100    0000 0000    0000 0000    0101 0000
adc r0, 0, 10    28 00 00 50      0010 1000    0000 0000    0000 0000    0101 0000
adc r0, 1, 10    68 00 00 50      0110 1000    0000 0000    0000 0000    0101 0000
adc r3, 0, 1     07 00 00 50      0000 0111    0000 0000    0000 0000    0101 0000
adc r3, 1, 1     47 00 00 50      0100 0111    0000 0000    0000 0000    0101 0000
adc r3, 0, 2     0b 00 00 50      0000 1011    0000 0000    0000 0000    0101 0000
adc r3, 1, 2     4b 00 00 50      0100 1011    0000 0000    0000 0000    0101 0000
adc r3, 0, 3     0f 00 00 50      0000 1111    0000 0000    0000 0000    0101 0000
adc r3, 1, 3     4f 00 00 50      0100 1111    0000 0000    0000 0000    0101 0000
adc r3, 0, 4     13 00 00 50      0001 0011    0000 0000    0000 0000    0101 0000
adc r3, 1, 4     53 00 00 50      0101 0011    0000 0000    0000 0000    0101 0000
adc r3, 0, 5     17 00 00 50      0001 0111    0000 0000    0000 0000    0101 0000
adc r3, 1, 5     57 00 00 50      0101 0111    0000 0000    0000 0000    0101 0000
adc r3, 0, 6     1b 00 00 50      0001 1011    0000 0000    0000 0000    0101 0000
adc r3, 1, 6     5b 00 00 50      0101 1011    0000 0000    0000 0000    0101 0000
adc r3, 0, 7     1f 00 00 50      0001 1111    0000 0000    0000 0000    0101 0000
adc r3, 1, 7     5f 00 00 50      0101 1111    0000 0000    0000 0000    0101 0000
adc r3, 0, 8     23 00 00 50      0010 0011    0000 0000    0000 0000    0101 0000
adc r3, 1, 8     63 00 00 50      0110 0011    0000 0000    0000 0000    0101 0000
adc r3, 0, 9     27 00 00 50      0010 0111    0000 0000    0000 0000    0101 0000
adc r3, 1, 9     67 00 00 50      0110 0111    0000 0000    0000 0000    0101 0000
adc r3, 0, 10    2b 00 00 50      0010 1011    0000 0000    0000 0000    0101 0000
adc r3, 1, 10    6b 00 00 50      0110 1011    0000 0000    0000 0000    0101 0000
